AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
55-64,U,50-74K,Unknown,2 Adults Kids,3,1,5317
25-34,A,Under 15K,Unknown,2 Adults No Kids,4,None/Unknown,5318
65+,B,15-24K,Renter,1 Adult Kids,5+,None/Unknown,5319
25-34,B,250K+,Homeowner,Unknown,4,1,5320
65+,A,200-249K,Renter,Single Male,1,1,5321
65+,U,100-124K,Probable Renter,2 Adults No Kids,4,2,5322
25-34,U,35-49K,Probable Renter,Unknown,4,None/Unknown,5323
25-34,U,75-99K,Homeowner,2 Adults No Kids,3,1,5324
19-24,A,100-124K,Homeowner,Single Female,2,1,5325
19-24,U,175-199K,Probable Renter,Single Male,5+,1,5326
55-64,A,35-49K,Probable Renter,Single Female,4,1,5327
19-24,B,35-49K,Renter,1 Adult Kids,1,None/Unknown,5328
55-64,B,15-24K,Homeowner,2 Adults No Kids,5+,3+,5329
35-44,A,Under 15K,Probable Renter,Single Female,1,3+,5330
35-44,A,75-99K,Homeowner,1 Adult Kids,3,2,5331
45-54,A,200-249K,Probable Owner,2 Adults Kids,3,1,5332
19-24,A,35-49K,Probable Renter,Single Female,4,1,5333
65+,U,25-34K,Unknown,Single Male,2,None/Unknown,5334
35-44,B,200-249K,Unknown,Single Female,5+,1,5335
45-54,B,15-24K,Probable Renter,Single Female,2,3+,5336
45-54,B,35-49K,Probable Renter,Unknown,2,2,5337
25-34,A,75-99K,Renter,Unknown,1,3+,5338
55-64,U,50-74K,Renter,2 Adults Kids,5+,None/Unknown,5339
55-64,A,125-149K,Probable Owner,2 Adults No Kids,2,None/Unknown,5340
25-34,B,200-249K,Probable Renter,Single Female,1,1,5341
19-24,A,Under 15K,Renter,2 Adults Kids,2,None/Unknown,5342
45-54,U,125-149K,Probable Owner,Single Male,1,1,5343
25-34,U,15-24K,Unknown,2 Adults No Kids,5+,3+,5344
25-34,B,150-174K,Probable Owner,2 Adults No Kids,2,None/Unknown,5345
19-24,A,200-249K,Probable Owner,2 Adults No Kids,3,None/Unknown,5346
35-44,A,15-24K,Renter,2 Adults Kids,1,1,5347
35-44,B,200-249K,Renter,1 Adult Kids,1,1,5348
65+,B,250K+,Homeowner,Single Male,5+,1,5349
45-54,A,250K+,Probable Owner,Single Male,4,3+,5350
19-24,U,75-99K,Probable Renter,Unknown,4,1,5351
65+,A,Under 15K,Renter,Single Male,5+,3+,5352
65+,B,125-149K,Renter,2 Adults Kids,5+,None/Unknown,5353
45-54,B,125-149K,Homeowner,Unknown,3,1,5354
35-44,U,25-34K,Unknown,2 Adults Kids,3,3+,5355
65+,A,Under 15K,Probable Owner,1 Adult Kids,1,2,5356
65+,A,35-49K,Homeowner,Single Male,4,2,5357
65+,A,Under 15K,Probable Owner,2 Adults Kids,2,1,5358
19-24,A,25-34K,Probable Renter,Single Female,2,3+,5359
65+,B,100-124K,Unknown,2 Adults No Kids,1,None/Unknown,5360
35-44,B,200-249K,Probable Owner,Single Male,4,None/Unknown,5361
19-24,B,150-174K,Probable Owner,Single Female,1,1,5362
55-64,U,100-124K,Probable Owner,Unknown,3,3+,5363
25-34,B,100-124K,Unknown,Single Female,4,1,5364
19-24,B,125-149K,Probable Owner,Single Female,5+,3+,5365
25-34,B,125-149K,Unknown,1 Adult Kids,2,3+,5366
45-54,B,35-49K,Probable Owner,2 Adults No Kids,3,1,5367
19-24,U,150-174K,Probable Owner,2 Adults No Kids,1,None/Unknown,5368
35-44,A,125-149K,Homeowner,Single Female,2,2,5369
45-54,A,25-34K,Homeowner,2 Adults Kids,4,2,5370
25-34,A,15-24K,Unknown,Single Male,4,None/Unknown,5371
65+,A,25-34K,Probable Owner,1 Adult Kids,5+,3+,5372
35-44,U,25-34K,Probable Owner,2 Adults Kids,1,1,5373
65+,A,15-24K,Homeowner,Single Male,3,None/Unknown,5374
19-24,A,15-24K,Unknown,2 Adults No Kids,3,1,5375
65+,A,50-74K,Homeowner,2 Adults No Kids,3,None/Unknown,5376
19-24,U,Under 15K,Probable Owner,2 Adults Kids,2,3+,5377
55-64,A,50-74K,Probable Owner,Unknown,2,1,5378
35-44,B,50-74K,Renter,Single Female,5+,None/Unknown,5379
25-34,U,100-124K,Probable Renter,1 Adult Kids,1,1,5380
25-34,B,25-34K,Unknown,Unknown,2,1,5381
35-44,A,35-49K,Homeowner,1 Adult Kids,3,None/Unknown,5382
19-24,B,150-174K,Probable Owner,Unknown,3,3+,5383
55-64,A,250K+,Renter,1 Adult Kids,5+,2,5384
65+,U,125-149K,Probable Renter,1 Adult Kids,4,3+,5385
19-24,U,35-49K,Probable Owner,Single Male,2,2,5386
19-24,A,175-199K,Renter,1 Adult Kids,2,1,5387
25-34,U,250K+,Unknown,Unknown,3,3+,5388
55-64,A,200-249K,Homeowner,1 Adult Kids,3,1,5389
65+,B,100-124K,Unknown,2 Adults Kids,1,None/Unknown,5390
19-24,U,15-24K,Unknown,Unknown,1,None/Unknown,5391
19-24,B,Under 15K,Homeowner,Single Male,2,None/Unknown,5392
19-24,U,125-149K,Probable Renter,1 Adult Kids,1,None/Unknown,5393
25-34,B,50-74K,Probable Owner,Single Female,1,2,5394
45-54,U,250K+,Probable Owner,Single Female,1,1,5395
19-24,U,75-99K,Probable Owner,Single Male,2,None/Unknown,5396
65+,A,175-199K,Homeowner,Unknown,4,3+,5397
65+,A,250K+,Renter,Single Female,2,1,5398
25-34,U,15-24K,Renter,Unknown,4,3+,5399
65+,A,Under 15K,Homeowner,Unknown,2,None/Unknown,5400
45-54,U,125-149K,Renter,2 Adults No Kids,2,None/Unknown,5401
25-34,U,50-74K,Homeowner,Unknown,3,1,5402
25-34,U,25-34K,Probable Owner,2 Adults Kids,2,3+,5403
19-24,A,35-49K,Probable Owner,Single Male,4,None/Unknown,5404
65+,U,15-24K,Renter,2 Adults Kids,4,2,5405
55-64,B,175-199K,Homeowner,1 Adult Kids,3,2,5406
45-54,B,100-124K,Probable Renter,Single Female,4,None/Unknown,5407
45-54,U,25-34K,Homeowner,Single Male,4,2,5408
65+,B,75-99K,Probable Owner,Single Female,2,None/Unknown,5409
65+,U,200-249K,Unknown,1 Adult Kids,4,None/Unknown,5410
45-54,B,50-74K,Probable Owner,1 Adult Kids,2,2,5411
65+,B,200-249K,Homeowner,Unknown,4,None/Unknown,5412
19-24,U,15-24K,Renter,1 Adult Kids,3,1,5413
45-54,U,50-74K,Unknown,Single Female,4,3+,5414
19-24,B,250K+,Homeowner,Single Male,2,2,5415
35-44,B,50-74K,Renter,Unknown,4,3+,5416
25-34,B,125-149K,Homeowner,1 Adult Kids,2,3+,5417
55-64,U,125-149K,Probable Owner,1 Adult Kids,4,2,5418
65+,B,100-124K,Unknown,2 Adults Kids,4,1,5419
55-64,A,15-24K,Probable Owner,2 Adults Kids,3,2,5420
45-54,U,15-24K,Probable Owner,Single Male,2,None/Unknown,5421
25-34,B,15-24K,Homeowner,2 Adults Kids,5+,2,5422
35-44,U,75-99K,Unknown,2 Adults Kids,4,3+,5423
25-34,A,175-199K,Unknown,2 Adults Kids,1,None/Unknown,5424
45-54,A,75-99K,Renter,Unknown,1,3+,5425
55-64,A,35-49K,Homeowner,2 Adults No Kids,5+,1,5426
35-44,B,Under 15K,Probable Renter,Single Female,2,3+,5427
45-54,U,15-24K,Probable Owner,2 Adults Kids,2,3+,5428
45-54,U,200-249K,Unknown,1 Adult Kids,5+,2,5429
35-44,B,250K+,Probable Renter,1 Adult Kids,4,None/Unknown,5430
25-34,B,75-99K,Renter,2 Adults Kids,1,3+,5431
55-64,A,100-124K,Homeowner,Single Female,1,3+,5432
19-24,B,Under 15K,Homeowner,Single Female,2,3+,5433
19-24,U,50-74K,Unknown,Unknown,5+,3+,5434
55-64,U,25-34K,Homeowner,2 Adults Kids,1,3+,5435
65+,B,175-199K,Unknown,Single Female,4,3+,5436
19-24,U,175-199K,Unknown,Single Female,5+,None/Unknown,5437
35-44,U,250K+,Unknown,1 Adult Kids,3,1,5438
25-34,A,250K+,Unknown,Unknown,3,None/Unknown,5439
45-54,B,125-149K,Probable Owner,Single Female,1,None/Unknown,5440
25-34,U,200-249K,Renter,2 Adults Kids,3,3+,5441
55-64,B,25-34K,Probable Renter,Unknown,3,2,5442
25-34,A,25-34K,Renter,Single Male,2,1,5443
25-34,U,35-49K,Homeowner,Unknown,5+,None/Unknown,5444
25-34,A,50-74K,Probable Renter,2 Adults No Kids,1,None/Unknown,5445
25-34,U,150-174K,Probable Renter,Single Male,3,None/Unknown,5446
45-54,A,250K+,Homeowner,Unknown,4,2,5447
35-44,B,100-124K,Homeowner,1 Adult Kids,3,1,5448
35-44,U,75-99K,Renter,Single Female,5+,3+,5449
25-34,A,175-199K,Renter,1 Adult Kids,5+,None/Unknown,5450
65+,U,25-34K,Probable Owner,Single Male,3,3+,5451
55-64,U,250K+,Probable Owner,2 Adults No Kids,2,None/Unknown,5452
45-54,B,150-174K,Probable Owner,Single Female,1,1,5453
45-54,U,Under 15K,Probable Owner,1 Adult Kids,4,None/Unknown,5454
35-44,U,100-124K,Probable Owner,Unknown,2,3+,5455
45-54,A,15-24K,Homeowner,Single Female,2,3+,5456
25-34,A,100-124K,Probable Owner,Single Female,2,3+,5457
25-34,U,250K+,Probable Owner,2 Adults No Kids,4,1,5458
65+,B,200-249K,Unknown,2 Adults No Kids,1,3+,5459
65+,U,150-174K,Homeowner,1 Adult Kids,3,2,5460
45-54,U,35-49K,Probable Owner,Single Female,5+,2,5461
45-54,U,175-199K,Probable Owner,2 Adults No Kids,5+,3+,5462
25-34,A,35-49K,Probable Renter,Unknown,4,2,5463
55-64,U,75-99K,Renter,Single Female,5+,1,5464
65+,B,200-249K,Probable Owner,Unknown,5+,2,5465
35-44,U,35-49K,Unknown,Single Female,1,1,5466
35-44,A,150-174K,Probable Renter,Single Male,5+,None/Unknown,5467
65+,U,Under 15K,Probable Owner,1 Adult Kids,4,None/Unknown,5468
45-54,A,Under 15K,Renter,2 Adults Kids,5+,1,5469
45-54,A,Under 15K,Homeowner,Single Female,1,2,5470
25-34,B,125-149K,Renter,2 Adults Kids,2,3+,5471
55-64,B,50-74K,Homeowner,Unknown,3,2,5472
65+,B,15-24K,Unknown,Single Male,5+,2,5473
55-64,B,150-174K,Homeowner,2 Adults No Kids,1,3+,5474
55-64,B,25-34K,Probable Renter,Single Male,4,1,5475
25-34,A,25-34K,Renter,Single Male,5+,3+,5476
19-24,B,Under 15K,Unknown,Single Female,5+,1,5477
55-64,U,50-74K,Homeowner,2 Adults Kids,5+,2,5478
55-64,U,175-199K,Homeowner,Single Female,3,1,5479
19-24,B,250K+,Homeowner,2 Adults No Kids,5+,1,5480
45-54,A,175-199K,Probable Renter,2 Adults No Kids,4,1,5481
25-34,U,100-124K,Homeowner,Unknown,1,None/Unknown,5482
55-64,A,75-99K,Homeowner,Unknown,4,1,5483
35-44,U,175-199K,Homeowner,2 Adults No Kids,4,1,5484
45-54,U,35-49K,Probable Owner,Unknown,5+,2,5485
25-34,U,100-124K,Renter,1 Adult Kids,4,2,5486
65+,A,250K+,Unknown,2 Adults No Kids,2,2,5487
55-64,B,Under 15K,Probable Owner,2 Adults Kids,3,2,5488
55-64,B,175-199K,Probable Owner,1 Adult Kids,2,2,5489
25-34,A,15-24K,Homeowner,Single Male,3,None/Unknown,5490
19-24,B,75-99K,Unknown,2 Adults Kids,3,2,5491
35-44,A,125-149K,Unknown,2 Adults No Kids,5+,None/Unknown,5492
65+,A,100-124K,Probable Renter,Single Female,3,3+,5493
35-44,U,Under 15K,Probable Renter,1 Adult Kids,5+,1,5494
19-24,B,200-249K,Unknown,2 Adults Kids,4,2,5495
45-54,U,50-74K,Homeowner,Single Female,2,1,5496
65+,U,250K+,Renter,1 Adult Kids,3,3+,5497
65+,A,250K+,Probable Owner,2 Adults Kids,4,1,5498
65+,A,35-49K,Probable Renter,2 Adults Kids,4,3+,5499
25-34,U,15-24K,Renter,2 Adults No Kids,3,3+,5500
25-34,U,35-49K,Renter,1 Adult Kids,4,1,5501
65+,U,150-174K,Renter,2 Adults Kids,4,3+,5502
19-24,U,50-74K,Probable Owner,Unknown,5+,3+,5503
55-64,A,250K+,Unknown,2 Adults No Kids,4,3+,5504
35-44,B,150-174K,Probable Owner,1 Adult Kids,5+,2,5505
65+,U,200-249K,Probable Renter,2 Adults No Kids,3,1,5506
25-34,U,175-199K,Unknown,2 Adults Kids,1,1,5507
55-64,A,100-124K,Probable Renter,2 Adults Kids,5+,3+,5508
25-34,U,Under 15K,Probable Owner,2 Adults No Kids,2,None/Unknown,5509
35-44,B,200-249K,Unknown,2 Adults No Kids,1,1,5510
35-44,A,250K+,Unknown,1 Adult Kids,5+,1,5511
35-44,U,150-174K,Probable Owner,1 Adult Kids,1,None/Unknown,5512
35-44,A,75-99K,Unknown,Single Male,4,None/Unknown,5513
19-24,U,Under 15K,Homeowner,Single Female,5+,1,5514
55-64,A,25-34K,Probable Renter,Single Female,1,3+,5515
45-54,U,175-199K,Renter,Single Female,3,None/Unknown,5516
35-44,B,50-74K,Probable Renter,Single Male,4,None/Unknown,5517
65+,B,35-49K,Renter,Unknown,3,2,5518
65+,U,35-49K,Probable Owner,2 Adults No Kids,1,None/Unknown,5519
19-24,U,175-199K,Unknown,Unknown,5+,3+,5520
45-54,B,75-99K,Unknown,2 Adults No Kids,1,2,5521
65+,U,100-124K,Renter,1 Adult Kids,5+,2,5522
65+,A,15-24K,Unknown,1 Adult Kids,3,1,5523
25-34,B,175-199K,Homeowner,Single Female,5+,2,5524
65+,B,15-24K,Probable Renter,Unknown,3,3+,5525
35-44,B,250K+,Renter,Single Female,3,2,5526
19-24,U,125-149K,Renter,2 Adults Kids,3,2,5527
19-24,U,150-174K,Probable Renter,1 Adult Kids,5+,2,5528
65+,B,175-199K,Probable Owner,Single Male,1,2,5529
35-44,A,75-99K,Renter,2 Adults Kids,2,2,5530
19-24,A,50-74K,Probable Owner,2 Adults Kids,3,3+,5531
65+,B,25-34K,Probable Renter,Single Male,2,None/Unknown,5532
45-54,A,Under 15K,Homeowner,Single Male,5+,1,5533
19-24,A,125-149K,Probable Owner,Single Female,4,1,5534
65+,A,50-74K,Unknown,Single Male,4,None/Unknown,5535
35-44,A,100-124K,Renter,Unknown,4,None/Unknown,5536
19-24,A,35-49K,Renter,Unknown,5+,None/Unknown,5537
25-34,A,Under 15K,Probable Renter,Single Male,4,1,5538
45-54,A,250K+,Renter,Unknown,5+,3+,5539
19-24,U,150-174K,Probable Renter,Unknown,5+,None/Unknown,5540
25-34,U,75-99K,Probable Renter,Single Male,5+,3+,5541
19-24,U,35-49K,Homeowner,Single Male,5+,3+,5542
45-54,A,200-249K,Probable Owner,2 Adults Kids,2,3+,5543
35-44,A,50-74K,Renter,2 Adults Kids,3,1,5544
25-34,B,200-249K,Probable Owner,Single Female,2,2,5545
65+,U,15-24K,Probable Owner,2 Adults Kids,1,3+,5546
65+,B,Under 15K,Renter,Single Female,1,None/Unknown,5547
65+,B,200-249K,Probable Owner,2 Adults Kids,3,3+,5548
19-24,B,175-199K,Probable Renter,2 Adults Kids,2,3+,5549
55-64,U,125-149K,Unknown,Unknown,2,2,5550
65+,B,35-49K,Renter,Unknown,1,1,5551
65+,U,50-74K,Probable Owner,2 Adults No Kids,4,1,5552
19-24,U,75-99K,Probable Owner,Unknown,4,None/Unknown,5553
55-64,A,15-24K,Unknown,2 Adults Kids,1,None/Unknown,5554
65+,A,Under 15K,Unknown,2 Adults Kids,2,3+,5555
19-24,A,75-99K,Unknown,Unknown,2,None/Unknown,5556
25-34,A,200-249K,Probable Owner,Single Female,1,3+,5557
25-34,A,50-74K,Probable Renter,Single Male,3,2,5558
65+,A,175-199K,Renter,2 Adults Kids,4,3+,5559
65+,B,35-49K,Probable Renter,Unknown,1,None/Unknown,5560
19-24,U,125-149K,Homeowner,Single Male,5+,None/Unknown,5561
65+,B,Under 15K,Probable Renter,Single Male,3,3+,5562
25-34,B,75-99K,Probable Renter,Single Female,4,3+,5563
35-44,U,150-174K,Renter,Single Male,3,None/Unknown,5564
19-24,U,75-99K,Homeowner,2 Adults Kids,3,3+,5565
19-24,U,200-249K,Homeowner,1 Adult Kids,3,1,5566
45-54,U,50-74K,Unknown,2 Adults No Kids,3,1,5567
55-64,B,75-99K,Probable Renter,2 Adults No Kids,1,3+,5568
45-54,A,125-149K,Homeowner,Single Female,5+,2,5569
19-24,B,75-99K,Homeowner,1 Adult Kids,3,None/Unknown,5570
35-44,U,200-249K,Renter,2 Adults Kids,5+,2,5571
19-24,U,Under 15K,Unknown,2 Adults Kids,5+,2,5572
45-54,U,125-149K,Probable Owner,Unknown,3,None/Unknown,5573
55-64,A,175-199K,Probable Renter,Single Male,2,None/Unknown,5574
19-24,B,Under 15K,Renter,2 Adults Kids,1,None/Unknown,5575
35-44,B,150-174K,Probable Renter,1 Adult Kids,2,None/Unknown,5576
65+,U,125-149K,Probable Owner,2 Adults No Kids,2,1,5577
65+,U,75-99K,Unknown,Unknown,3,3+,5578
35-44,U,250K+,Probable Renter,1 Adult Kids,5+,None/Unknown,5579
35-44,U,50-74K,Unknown,Unknown,5+,2,5580
25-34,U,50-74K,Probable Owner,Unknown,5+,1,5581
25-34,B,100-124K,Probable Owner,2 Adults Kids,5+,3+,5582
65+,B,15-24K,Probable Owner,Unknown,4,1,5583
19-24,A,Under 15K,Homeowner,1 Adult Kids,3,2,5584
65+,U,25-34K,Probable Renter,2 Adults Kids,3,3+,5585
55-64,A,Under 15K,Probable Renter,Single Female,4,1,5586
55-64,B,200-249K,Probable Renter,Unknown,2,2,5587
65+,A,50-74K,Probable Renter,Single Female,3,2,5588
19-24,U,35-49K,Unknown,Single Female,2,None/Unknown,5589
35-44,B,Under 15K,Probable Owner,1 Adult Kids,2,3+,5590
19-24,U,Under 15K,Probable Owner,2 Adults Kids,5+,None/Unknown,5591
45-54,U,35-49K,Unknown,Single Female,2,2,5592
55-64,B,25-34K,Renter,1 Adult Kids,3,2,5593
55-64,B,50-74K,Renter,Single Male,4,3+,5594
35-44,A,50-74K,Homeowner,Single Female,1,1,5595
19-24,B,100-124K,Probable Renter,Unknown,2,2,5596
19-24,U,125-149K,Probable Renter,Unknown,4,None/Unknown,5597
19-24,U,175-199K,Homeowner,Single Male,4,3+,5598
35-44,B,Under 15K,Renter,Unknown,1,1,5599
45-54,U,25-34K,Probable Renter,1 Adult Kids,4,None/Unknown,5600
55-64,B,200-249K,Unknown,1 Adult Kids,3,3+,5601
25-34,B,15-24K,Renter,Unknown,4,1,5602
19-24,B,50-74K,Homeowner,Single Male,2,3+,5603
19-24,B,125-149K,Renter,Single Male,4,2,5604
55-64,B,200-249K,Renter,Single Female,1,1,5605
65+,B,150-174K,Homeowner,Single Female,4,1,5606
65+,U,35-49K,Probable Owner,2 Adults No Kids,1,None/Unknown,5607
45-54,A,15-24K,Renter,2 Adults Kids,4,3+,5608
19-24,B,100-124K,Unknown,1 Adult Kids,2,3+,5609
55-64,A,Under 15K,Homeowner,2 Adults Kids,2,None/Unknown,5610
45-54,B,25-34K,Probable Renter,1 Adult Kids,4,1,5611
45-54,U,15-24K,Homeowner,Single Male,4,None/Unknown,5612
65+,U,250K+,Unknown,Single Female,1,1,5613
19-24,A,15-24K,Renter,2 Adults Kids,4,3+,5614
25-34,B,50-74K,Probable Owner,1 Adult Kids,3,3+,5615
55-64,U,15-24K,Homeowner,Unknown,3,None/Unknown,5616
45-54,U,100-124K,Renter,1 Adult Kids,4,1,5617
19-24,U,50-74K,Homeowner,2 Adults No Kids,4,3+,5618
45-54,U,200-249K,Unknown,2 Adults No Kids,5+,None/Unknown,5619
45-54,A,75-99K,Probable Owner,1 Adult Kids,1,3+,5620
65+,U,100-124K,Probable Owner,Single Male,5+,1,5621
19-24,U,15-24K,Homeowner,2 Adults Kids,2,2,5622
19-24,B,Under 15K,Unknown,Single Male,4,None/Unknown,5623
45-54,U,250K+,Unknown,Single Female,1,None/Unknown,5624
25-34,B,Under 15K,Unknown,Unknown,5+,1,5625
65+,U,100-124K,Homeowner,2 Adults Kids,5+,3+,5626
45-54,A,50-74K,Probable Renter,2 Adults No Kids,5+,1,5627
55-64,A,Under 15K,Homeowner,Single Male,5+,2,5628
35-44,B,150-174K,Renter,Single Female,4,3+,5629
35-44,U,25-34K,Homeowner,1 Adult Kids,3,3+,5630
25-34,B,250K+,Probable Renter,1 Adult Kids,5+,None/Unknown,5631
19-24,B,200-249K,Unknown,1 Adult Kids,2,3+,5632
35-44,U,75-99K,Probable Owner,Single Male,4,1,5633
55-64,A,25-34K,Probable Owner,Unknown,4,1,5634
19-24,B,125-149K,Probable Owner,Single Female,1,None/Unknown,5635
65+,A,25-34K,Probable Owner,1 Adult Kids,5+,1,5636
35-44,A,35-49K,Homeowner,Unknown,3,2,5637
35-44,U,175-199K,Renter,1 Adult Kids,3,1,5638
19-24,B,75-99K,Probable Renter,Unknown,2,None/Unknown,5639
65+,B,35-49K,Renter,2 Adults No Kids,3,1,5640
45-54,B,Under 15K,Unknown,Single Male,4,1,5641
25-34,B,Under 15K,Renter,2 Adults Kids,1,2,5642
35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,5643
19-24,A,100-124K,Probable Renter,2 Adults No Kids,1,1,5644
65+,B,100-124K,Unknown,2 Adults No Kids,5+,3+,5645
19-24,B,50-74K,Renter,2 Adults No Kids,3,1,5646
35-44,U,150-174K,Probable Owner,2 Adults No Kids,3,1,5647
45-54,A,50-74K,Homeowner,Single Male,5+,1,5648
25-34,B,175-199K,Unknown,1 Adult Kids,2,3+,5649
45-54,U,Under 15K,Unknown,1 Adult Kids,2,2,5650
65+,A,250K+,Probable Owner,Single Female,1,1,5651
45-54,A,50-74K,Probable Renter,Unknown,4,3+,5652
45-54,A,175-199K,Probable Owner,Single Female,5+,None/Unknown,5653
45-54,B,100-124K,Probable Owner,2 Adults Kids,5+,None/Unknown,5654
55-64,A,15-24K,Probable Owner,1 Adult Kids,4,1,5655
65+,A,75-99K,Probable Renter,2 Adults Kids,3,3+,5656
65+,U,15-24K,Probable Renter,Single Female,4,1,5657
65+,B,25-34K,Probable Owner,Unknown,5+,1,5658
25-34,B,35-49K,Probable Renter,1 Adult Kids,5+,2,5659
65+,A,35-49K,Homeowner,1 Adult Kids,3,3+,5660
19-24,U,Under 15K,Unknown,2 Adults Kids,5+,None/Unknown,5661
65+,U,100-124K,Probable Renter,1 Adult Kids,3,3+,5662
35-44,A,250K+,Homeowner,Single Female,1,1,5663
25-34,U,250K+,Probable Renter,Unknown,1,None/Unknown,5664
55-64,A,250K+,Renter,Single Female,5+,None/Unknown,5665
65+,A,250K+,Unknown,Single Female,4,1,5666
25-34,U,15-24K,Probable Renter,1 Adult Kids,3,1,5667
65+,B,125-149K,Renter,2 Adults Kids,2,3+,5668
35-44,B,35-49K,Probable Renter,1 Adult Kids,2,2,5669
19-24,U,150-174K,Unknown,2 Adults No Kids,2,2,5670
19-24,B,200-249K,Probable Renter,Single Male,1,2,5671
45-54,A,25-34K,Unknown,2 Adults No Kids,2,1,5672
25-34,A,100-124K,Unknown,2 Adults No Kids,5+,1,5673
55-64,U,200-249K,Homeowner,2 Adults No Kids,1,1,5674
35-44,B,100-124K,Renter,Unknown,3,1,5675
25-34,U,200-249K,Renter,Single Male,1,3+,5676
25-34,U,35-49K,Probable Renter,1 Adult Kids,1,3+,5677
35-44,B,Under 15K,Probable Renter,2 Adults No Kids,4,1,5678
25-34,B,150-174K,Probable Renter,Single Female,2,None/Unknown,5679
35-44,U,150-174K,Homeowner,2 Adults No Kids,1,None/Unknown,5680
19-24,B,125-149K,Homeowner,2 Adults No Kids,1,1,5681
55-64,U,100-124K,Renter,1 Adult Kids,5+,None/Unknown,5682
19-24,U,75-99K,Probable Renter,Unknown,4,2,5683
65+,B,25-34K,Unknown,Single Female,2,2,5684
55-64,U,15-24K,Renter,Single Male,5+,1,5685
45-54,A,75-99K,Unknown,2 Adults No Kids,4,3+,5686
25-34,B,100-124K,Unknown,Single Female,4,2,5687
45-54,B,200-249K,Homeowner,2 Adults No Kids,1,2,5688
35-44,A,200-249K,Probable Owner,2 Adults No Kids,2,2,5689
35-44,U,200-249K,Homeowner,Single Male,5+,2,5690
19-24,B,250K+,Homeowner,2 Adults No Kids,3,None/Unknown,5691
65+,B,175-199K,Probable Owner,Unknown,5+,1,5692
25-34,A,250K+,Homeowner,2 Adults No Kids,3,3+,5693
19-24,B,125-149K,Probable Owner,Single Female,2,None/Unknown,5694
55-64,U,200-249K,Renter,2 Adults No Kids,1,3+,5695
55-64,U,25-34K,Unknown,Single Female,4,2,5696
65+,U,150-174K,Probable Renter,Unknown,1,None/Unknown,5697
19-24,A,35-49K,Unknown,2 Adults No Kids,5+,3+,5698
25-34,B,Under 15K,Probable Owner,Unknown,5+,1,5699
45-54,A,100-124K,Probable Renter,Unknown,4,2,5700
65+,B,150-174K,Probable Renter,2 Adults Kids,1,3+,5701
55-64,B,25-34K,Homeowner,Unknown,1,1,5702
55-64,B,15-24K,Probable Renter,1 Adult Kids,3,None/Unknown,5703
19-24,U,35-49K,Probable Renter,Single Female,4,None/Unknown,5704
55-64,B,35-49K,Probable Owner,2 Adults No Kids,5+,3+,5705
35-44,B,150-174K,Unknown,Single Male,3,3+,5706
55-64,U,75-99K,Probable Renter,Unknown,3,3+,5707
45-54,B,35-49K,Probable Renter,Single Male,4,3+,5708
19-24,A,200-249K,Probable Renter,Unknown,1,2,5709
35-44,U,75-99K,Unknown,Single Female,5+,1,5710
35-44,U,125-149K,Probable Owner,2 Adults Kids,4,3+,5711
65+,U,Under 15K,Renter,Single Female,1,None/Unknown,5712
65+,B,50-74K,Unknown,2 Adults Kids,3,1,5713
45-54,U,250K+,Renter,1 Adult Kids,1,None/Unknown,5714
45-54,B,35-49K,Probable Renter,1 Adult Kids,3,1,5715
19-24,U,150-174K,Renter,Single Male,4,3+,5716
35-44,U,15-24K,Probable Renter,2 Adults No Kids,5+,3+,5717
65+,U,50-74K,Probable Owner,Unknown,2,3+,5718
19-24,A,200-249K,Renter,2 Adults No Kids,1,1,5719
45-54,B,175-199K,Homeowner,Single Female,5+,3+,5720
35-44,B,Under 15K,Homeowner,Unknown,3,None/Unknown,5721
45-54,A,200-249K,Unknown,Single Female,1,None/Unknown,5722
35-44,U,125-149K,Probable Renter,1 Adult Kids,3,None/Unknown,5723
45-54,U,50-74K,Homeowner,Unknown,2,None/Unknown,5724
35-44,B,175-199K,Probable Owner,Single Male,5+,2,5725
19-24,U,75-99K,Unknown,2 Adults Kids,3,2,5726
45-54,B,35-49K,Renter,1 Adult Kids,3,2,5727
35-44,U,250K+,Unknown,Single Female,3,3+,5728
25-34,U,250K+,Unknown,1 Adult Kids,5+,1,5729
55-64,B,50-74K,Homeowner,Unknown,5+,3+,5730
25-34,B,15-24K,Probable Renter,Single Male,2,1,5731
55-64,U,35-49K,Unknown,Unknown,1,1,5732
55-64,A,125-149K,Probable Owner,2 Adults Kids,5+,2,5733
35-44,B,35-49K,Unknown,2 Adults Kids,1,3+,5734
25-34,A,200-249K,Unknown,Single Female,5+,None/Unknown,5735
25-34,U,175-199K,Homeowner,Single Male,4,2,5736
35-44,B,Under 15K,Renter,1 Adult Kids,1,1,5737
25-34,B,Under 15K,Renter,2 Adults Kids,1,None/Unknown,5738
55-64,B,200-249K,Unknown,2 Adults No Kids,1,3+,5739
45-54,A,250K+,Homeowner,2 Adults Kids,3,None/Unknown,5740
45-54,U,75-99K,Probable Renter,2 Adults No Kids,5+,2,5741
65+,U,35-49K,Homeowner,Unknown,3,2,5742
